iter	Passed	Remaining
786	1095	296
787	1096	295
788	1097	293
789	1098	292
790	1099	290
791	1100	289
792	1102	287
793	1103	286
794	1104	284
795	1105	283
796	1106	281
797	1106	280
798	1107	278
799	1108	277
800	1109	275
801	1110	274
802	1111	272
803	1112	271
804	1113	269
805	1114	268
806	1115	266
807	1116	265
808	1117	263
809	1118	262
810	1119	260
811	1120	259
812	1121	257
813	1122	256
814	1123	254
815	1124	253
816	1124	251
817	1125	250
818	1126	249
819	1127	247
820	1128	246
821	1129	244
822	1130	243
823	1131	241
824	1133	240
825	1134	238
826	1134	237
827	1135	235
828	1136	234
829	1137	233
830	1138	231
831	1139	230
832	1140	228
833	1141	227
834	1142	225
835	1143	224
836	1144	222
837	1145	221
838	1146	220
839	1147	218
840	1148	217
841	1149	215
842	1150	214
843	1151	212
844	1152	211
845	1153	210
846	1154	208
847	1155	207
848	1156	205
849	1157	204
850	1158	202
851	1159	201
852	1160	200
853	1161	198
854	1162	197
855	1163	195
856	1164	194
857	1165	192
858	1166	191
859	1167	190
860	1168	188
861	1169	187
862	1170	185
863	1171	184
864	1172	182
865	1173	181
866	1173	180
867	1174	178
868	1175	177
869	1176	175
870	1178	174
871	1179	173
872	1180	171
873	1180	170
874	1181	168
875	1182	167
876	1183	166
877	1184	164
878	1185	163
879	1187	161
880	1188	160
881	1189	159
882	1189	157
883	1190	156
884	1191	154
885	1193	153
886	1194	152
887	1195	150
888	1196	149
889	1197	147
890	1198	146
891	1199	145
892	1199	143
893	1200	142
894	1202	141
895	1202	139
896	1203	138
897	1204	136
898	1205	135
899	1206	134
900	1207	132
901	1208	131
902	1209	129
903	1210	128
904	1211	127
905	1212	125
906	1213	124
907	1214	123
908	1215	121
909	1216	120
910	1217	118
911	1218	117
912	1218	116
913	1219	114
914	1221	113
915	1221	112
916	1223	110
917	1224	109
918	1225	107
919	1226	106
920	1227	105
921	1228	103
922	1229	102
923	1230	101
924	1230	99
925	1231	98
926	1232	97
927	1233	95
928	1234	94
929	1235	93
930	1236	91
931	1237	90
932	1238	88
933	1239	87
934	1240	86
935	1241	84
936	1242	83
937	1243	82
938	1244	80
939	1245	79
940	1246	78
941	1247	76
942	1248	75
943	1249	74
944	1250	72
945	1251	71
946	1252	70
947	1253	68
948	1254	67
949	1255	66
950	1256	64
951	1257	63
952	1258	62
953	1259	60
954	1260	59
955	1261	58
956	1262	56
957	1262	55
958	1263	54
959	1264	52
960	1265	51
961	1266	50
962	1267	48
963	1268	47
964	1269	46
965	1270	44
966	1271	43
967	1272	42
968	1273	40
969	1274	39
970	1275	38
971	1276	36
972	1277	35
973	1278	34
974	1279	32
975	1280	31
976	1281	30
977	1282	28
978	1283	27
979	1284	26
980	1285	24
981	1286	23
982	1287	22
983	1288	20
984	1289	19
985	1290	18
986	1291	17
987	1292	15
988	1293	14
989	1294	13
990	1295	11
991	1295	10
992	1296	9
993	1297	7
994	1299	6
995	1300	5
996	1301	3
997	1302	2
998	1303	1
999	1304	0
